ProjKey,PrimaryKey,DateVisted,EcoSiteID,MLRADesc,MLRASym,ObjectID_LDCpoint,ObjectID_CountOverlapping,ldc_count
BLM_AIM,11042011045429962014-09-01,NA,R023XY018NV,Humboldt Basin and Range Area,24,211,35910,6
BLM_AIM,13050112230517182014-09-01,NA,R023XY018NV,Humboldt Basin and Range Area,24,1404,35820,3
BLM_AIM,14061007545544842014-09-01,NA,R023XY039NV,Humboldt Basin and Range Area,24,2632,35778,2
BLM_AIM,14061007550467062014-09-01,NA,R023XY042NV,Humboldt Basin and Range Area,24,2634,35981,4
BLM_AIM,14061007551324842014-09-01,NA,R023XY019NV,Humboldt Basin and Range Area,24,2638,36016,4
BLM_AIM,14061007562199512014-09-01,NA,R023XY018NV,Humboldt Basin and Range Area,24,2644,36061,4
BLM_AIM,14071517113470492014-09-01,NA,R023XY039NV,Humboldt Basin and Range Area,24,2839,35953,4
BLM_AIM,14082913092673722014-09-01,NA,R023XY017NV,Humboldt Basin and Range Area,24,3052,35101,4
BLM_AIM,15090914455969702015-09-01,NA,R023XF081CA,Malheur High Plateau,23,4602,24632,1
BLM_AIM,15091010521292262015-09-01,NA,R023XY031NV,Malheur High Plateau,23,4610,25738,1
BLM_AIM,15091012580917792015-09-01,NA,R023XY039NV,Malheur High Plateau,23,4613,26780,1
BLM_AIM,1509141641202562015-09-01,NA,R023XY037NV,Malheur High Plateau,23,4619,25619,1
BLM_AIM,15091509424993582015-09-01,NA,R026XY022NV,Fallon-Lovelock Area,27,4620,24613,1
BLM_AIM,15091510141354642015-09-01,NA,R023XY006NV,Fallon-Lovelock Area,27,4621,24545,1
BLM_AIM,CO_Gunnison-Field-Office-2020_Alpine-209_V12020-09-01,NA,NA,Southern Rocky Mountains,48A,44762,11473,1
BLM_AIM,CO_Gunnison-Field-Office-2020_Alpine-220_V12020-09-01,NA,NA,Southern Rocky Mountains,48A,44767,11104,1
BLM_AIM,MTB05000_2019_SC-51-S2019-09-01,NA,R044BA032MT,Central Rocky Mountains,43B,48735,54390,1
BLM_AIM,UT_Richfield-LUP-Random-2020_PJ-035_V12020-09-01,NA,NA,Colorado Plateau,35,59579,11586,1
BLM_AIM,UT_SLFO-ESR-Random-SHINY-2019_CUR-1_V12020-09-01,NA,NA,Ancient Lake Bonneville,28A,59686,32175,1
BLM_AIM,UT_SLFO-ESR-Random-SHINY-2019_GP-1_V12020-09-01,NA,NA,Ancient Lake Bonneville,28A,59688,32057,1
BLM_AIM,UT_SLFO-ESR-Random-SHINY-2019_GR-1_V12020-09-01,NA,NA,Ancient Lake Bonneville,28A,59689,32289,1
BLM_AIM,UT_SLFO-ESR-Random-SHINY-2019_RUS-1_V12020-09-01,NA,NA,Ancient Lake Bonneville,28A,59693,33242,1
