Prj_ID,Trt_ID,Trt_Type_Major,Trt_Type_Sub,Treatment_Type,FID_TrtPoly002,ObjectID_Union,ObjectID_CountOverlapping,treatment_count,init_date_est,comp_date_est,Init_Date,Comp_Date,init_est,comp_est,init_comp_elapsed,Plan_Imp,Success,Dates_Confirmed,Units,Num_Units,Treatment_Seeded,Seed_List,Seed_Mix_Name,Seeds_or_Seedlings,Seed_List_Confirmed,Control_Areas,Seed_Application_Rate,Seed_Notes,Objectives,Planned_Implementation,Actual_Implementation,Treatment_Effect_and_Results,Trt_Feature_Type,Feature_Status,How_Feature_Created,Feature_Creation_Date,Total_Acres,BLM_Acres,GIS_Notes,Initiated_By,Trt_Concerns,Trt_Concerns_Desc,Problems_Apply_Trt,Problems_Apply_Trt_Desc,Conditions_At_Trt,Conditions_At_Trt_Desc,Trt_Notes,User_Updated,init_m,init_d,init_y,init_m_est,init_d_est,comp_m,comp_d,comp_y,comp_m_est,comp_d_est
264,737,Vegetation/Soil Manipulation,Vegetation Disturbance,Tree/Brush Control: Thin and Pile,522,995,436,2,2006-10-01,2006-10-15,10/1/2006,10/15/2006,actual,actual,14,Implemented,None,2,Acres,211,0,NA,NA,NA,NA,NA,NA,NA,"The purpose of the Proposed Action is to reduce hazardous fuels on BLM land in Antelope\r\nValley. Many of the areas proposed for treatment are immediately adjacent to homes and\r\ncommunities in Antelope Valley. In these cases, the proposed treatments are intended to\r\ndecrease the intensity of future wildland fires in the treated areas, and increase the safety of\r\nresidents, private property, and firefighters working to protect the community and suppress\r\nfires.","Work includes standing dead, dead and down, and standing live pinyon pine. All slash must be treated. Firewood-sized material will be yarded, piled and left for public gathering at BLM-designated sites within each unit.\r\n\r\nWork Sequence - Cutting, yarding, slash treatment, and site restoration shall be performed in an organized and\r\nsystematic manner, as determined in the pre-work conference. To minimize fire hazard, slash work must be conducted\r\nsimultaneously or progressively with tree felling and yarding operations. For these Items, slash treatment is chipping.\r\nThe nature of this work will result in some ground disturbance, however the Contractor is expected to conduct all\r\noperations with professionalism and care to ensure soil and vegetation disturbance and displacement are the minimum\r\npracticable for the designated tasks.\r\n\r\nCutting (Specifications Common to All Pinyon Units - Live pinyon pine exceeding 1 foot in total height shall be cut to\r\nachieve individual unit specifications listed below. No live branches shall be left on the stump of cut trees. Stump\r\nheight shall conform to Stump Height in Section 6.13.1 in this contract. All standing dead pinyon pine shall be cut.\r\nDead and down pinyon pine shall be bucked and treated as firewood or slash. In all units, areas will be left uncut. The\r\nuncut areas shall range from just a few trees in a small group, to patches of trees up to 1/2 acre in size. Average\r\nsize shall be approximately 1/4 acre. Groups or patches of larger-sized individual trees shall be sought out by the ! Contractor for retention as uncut areas. Groups or patches should be located more or Jess randomly throughout the\r\nN units, as conditions permit. While creation of very large openings should be avoided, a strict spacing pattern should also\r\nnot be used in locating groups or patches. No groups or patches of pinyon pine shall be located within 75 feet of the unit\r\nboundaries. Groups or patches of pinyon pine shall be located at least 75 feet from other groups or patches. Standing\r\ndead or dead and down trees located within the uncut groups or patches shall be cut and treated. The Contracting\r\nOfficer's Rep. will work closely with the Contractor in the initial stages to answer questions and ensure these\r\nspecifications are clearly understood.\r\n\r\nITEM 0002AA (Dump) Specifications: Leave approximately 42 groups or patches of uncut pinyon pine (40 north of\r\nold dump site, 2 south of old dump site).\r\nITEM 0002AB (Clinic) Specifications: Leave approximately 23 groups or patches of uncut pinyon pine.\r\nITEM 0002AC (Patricia) Specifications: Leave approximately 14 groups or patches of uncut pinyon pine.\r\nITEM 0002AD (Camp) Specifications: Leave approximately 24 groups or patches of uncut pinyon pine.\r\nITEM 0002AE (Birchim Flat Rd.) Specifications: Leave approximately 12 groups or patches of uncut pinyon pine.\r\n\r\nYarding (Specifications Common to All Pinyon Units) - All firewood-sized material (4"" diameter and larger) shall be\r\nbrought to ELM-designated sites for piling, so as to be available to the general public as firewood. All piling shall be\r\ndone on BLM land, within the project boundaries. No skidding is allowed. Material must be transported from stump to\r\nlanding fully off the surface of the ground. Material may be brought to the landing by non-motorized means. Motorized\r\nequipment may also be used. If motorized equipment is used, the equipment&$s size must be approximately equal to that\r\nof an ATV and small trailer. Regardless of yarding method used, soil displacement is minimal, and residual vegetation\r\nis protected to the greatest extent practicable.",NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,211.8314241,137.2123121,NA,Contractor,"Brush control, Encroaching vegetation, Fire hazard, Hazardous fuels reduction, Pinon-juniper, Public safety, Rangeland health, Wildland Urban Interface","The purpose of the Proposed Action is to reduce hazardous fuels on BLM land in Antelope\r\nValley. Many of the areas proposed for treatment are immediately adjacent to homes and\r\ncommunities in Antelope Valley. In these cases, the proposed treatments are intended to\r\ndecrease the intensity of future wildland fires in the treated areas, and increase the safety of\r\nresidents, private property, and firefighters working to protect the community and suppress\r\nfires.",None,NA,None,NA,NA,23:50:00,10,1,2006,10,01,10,15,2006,10,15
264,738,Vegetation/Soil Manipulation,Vegetation Disturbance,Vegetation Disturbance: Chipping,523,996,436,2,2006-10-01,2006-10-15,10/1/2006,10/15/2006,actual,actual,14,Implemented,None,2,Acres,211,0,NA,NA,NA,NA,NA,NA,NA,"The purpose of the Proposed Action is to reduce hazardous fuels on BLM land in Antelope\r\nValley. Many of the areas proposed for treatment are immediately adjacent to homes and\r\ncommunities in Antelope Valley. In these cases, the proposed treatments are intended to\r\ndecrease the intensity of future wildland fires in the treated areas, and increase the safety of\r\nresidents, private property, and firefighters working to protect the community and suppress\r\nfires.","Work includes standing dead, dead and down, and standing live pinyon pine. All slash must be treated. Firewood-sized material will be yarded, piled and left for public gathering at BLM-designated sites within each unit.\r\n\r\nWork Sequence - Cutting, yarding, slash treatment, and site restoration shall be performed in an organized and\r\nsystematic manner, as determined in the pre-work conference. To minimize fire hazard, slash work must be conducted\r\nsimultaneously or progressively with tree felling and yarding operations. For these Items, slash treatment is chipping.\r\nThe nature of this work will result in some ground disturbance, however the Contractor is expected to conduct all\r\noperations with professionalism and care to ensure soil and vegetation disturbance and displacement are the minimum\r\npracticable for the designated tasks.\r\n\r\nChipping shall conform to Chip in Section C.6.16.1 in this contract. Chipper(s) should be of a size capable\r\nof handling material up to 4"" in diameter, minimum, but also small enough to be moved through the treatment units with\r\na Bobcat loader or similar sized equipment. Small portions of each unit may be inaccessible to the chipping equipment,\r\ndue to steep (greater than 20% slope) or rocky terrain. With the agreement of the Contracting Officer's Representative,\r\nslash in these areas may be hand piled in conformance with the Hand Pile definition in Section 1.3.4 of this contract.\r\nThe Contractor is also expected and encouraged to utilize these areas of inaccessible terrain for retention as uncut groups\r\nor patches of trees, as appropriate, while still meeting the requirements for uncut areas.",NA,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,211.8314241,137.2123121,NA,Contractor,"Brush control, Encroaching vegetation, Fire hazard, Hazardous fuels reduction, Pinon-juniper, Public safety, Rangeland health, Wildland Urban Interface","The purpose of the Proposed Action is to reduce hazardous fuels on BLM land in Antelope\r\nValley. Many of the areas proposed for treatment are immediately adjacent to homes and\r\ncommunities in Antelope Valley. In these cases, the proposed treatments are intended to\r\ndecrease the intensity of future wildland fires in the treated areas, and increase the safety of\r\nresidents, private property, and firefighters working to protect the community and suppress\r\nfires.",None,NA,None,NA,Cost included in thinning & piling treatment.,28:26:00,10,1,2006,10,01,10,15,2006,10,15
1326,3741,Herbicide/Weeds/Chemical,Weeds,Noxious Weeds: Weed Detection,2406,1065,445,2,2006-06-15,2008-06-15,00/00/2006,00/00/2008,estimated month and day,estimated month and day,731,Implemented,Fully Successful,1,Acres,6416,0,No seed list,NA,NA,NA,NA,NA,NA,The objective is to detect any noxious weeds that may invade the burned area and compromise ecological functioning of the plant community and loss of soil and site productivity.,N/A,The inventory method is to walk and drive all through the burn in systematic search of targeted species.  No noxious weeds have been detected yet.,The weed inventory is being conducted under contract by the USDA Forest Service Adaptive management Services Team along with monitoring for success of natural vegetation recovery.,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,6683.431866,6479.82714,This is the fire perimeter for the Bootlegger Fire.  Treatments were conducted within this area.,Other Agency,"Erosion, Habitat for wildlife, Loss of vegetation, Overgrazing",Soil stabilization by vegetation is an issue in this burn.  Natural recovery of vegetation from the effects of fire without seeding or planting is expected to be favorable enough to stabilize the soil as long as recovering plants are protected from grazing.,None,NA,None,NA,NA,47:19:00,00,00,2006,06,15,00,00,2008,06,15
1326,3743,Closure/Exclosure,Closure,"Closures (OHV, Livestock, Area): Livestock Closure",2407,1066,445,2,2006-06-15,2008-06-15,00/00/2006,00/00/2008,estimated month and day,estimated month and day,731,Implemented,Fully Successful,1,Acres,6416,0,No seed list,NA,NA,NA,NA,NA,NA,The objective is to protect recovering plants and establishing seedlings from herbivory by domestic livestock to stabilize and prevent unacceptable degradation to natural and cultural resources.,The decision was issued to close the burned area to grazing.  This is being accomplished by ordering the grazing permitted to refrain from releasing cattle into the portion of the allotment where they could range into the burn.,"Periodic checks were made to observe whether any livestock were getting into the closed area.  So far, no violations have occurred.",No cattle have entered into the protected area.,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",NA,6683.431866,6479.82714,This is the fire perimeter for the Bootlegger Fire.  Treatments were conducted within this area.,BLM and Cooperators,"Erosion, Habitat for wildlife, Loss of vegetation, Overgrazing",Soil stabilization by vegetation is an issue in this burn.  Natural recovery of vegetation from the effects of fire without seeding or planting is expected to be favorable enough to stabilize the soil as long as recovering plants are protected from grazing.,None,NA,None,NA,NA,47:58:00,00,00,2006,06,15,00,00,2008,06,15
14245,36857,Seeding,Aerial Seeding,Aerial Seeding: Rotor Wing,23864,2131,584,2,1977-10-01,1978-01-31,10/1/1977,1/31/1978,actual,actual,122,Implemented,NA,1,Acres,385,-1,Confirmed seed list,Willow Ridge Aerial Seeding,Seeds,Confirmed on Paper,No control areas present,Species Specific,See seed list for more details on seeded species and methods.,"Vegetation ""conversions to\r\nincrease the density of ground cover and, thus, decrease the severity\r\nof erosion."" [See EA].","Areas of steeper slopes will be helicopter\r\nseeded and fertilized where necessary to assure a prompt revegetation with\r\nselected grass species.\r\nMore moderate slopes will be seeded with a rangeland\r\ndrill with discing and fertilization, These areas will be converted from\r\nthe dense brush and chaparral stands to perennial grasses and legumes.",NA,NA,Polygon,Confirmed,"Digitized by LTDL data entry personnel, merged map from various sources",2/9/2017,385.1772738,385.1772738,NA,NA,"Erosion, Habitat productivity, Habitat quality, Watershed health, Wildlife in treated area","Mitigation to replace the vegetation and to reduce erosion will be\r\nboth natural and artificial. All the native species are adapted to fire.\r\nSome sprout from the root crown, some have seeds which need the heat of\r\nfire to germinate, and some use both devices. Left alone after a fire,\r\nthe area will be indistinguishable from adjoining areas in perhaps ten\r\nyears. Artificial mitigation will consist of grass seeding of the total\r\nburn area and fertilization of potential permanent conversions to\r\nincrease the density of ground cover and, thus, decrease the severity\r\nof erosion.",NA,NA,NA,NA,NA,05:20:00,10,1,1977,10,01,1,31,1978,01,31
14245,36908,Herbicide/Weeds/Chemical,Chemical,Chemical: Fertilization,23878,2132,584,2,1977-10-01,1978-01-31,10/1/1977,1/31/1978,actual,actual,122,Implemented,NA,1,Acres,530,0,NA,NA,NA,NA,NA,NA,NA,"Help insure vegetation ""conversions to\r\nincrease the density of ground cover and, thus, decrease the severity\r\nof erosion."" [See EA].","Areas of steeper slopes will be helicopter\r\nseeded and fertilized where necessary to assure a prompt revegetation with\r\nselected grass species.\r\nMore moderate slopes will be seeded with a rangeland\r\ndrill with discing and fertilization, These areas will be converted from\r\nthe dense brush and chaparral stands to perennial grasses and legumes.",NA,NA,Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,2/10/2017,517.0080618,517.0080618,NA,NA,Establishment of seeded species,"Mitigation to replace the vegetation and to reduce erosion will be\r\nboth natural and artificial. All the native species are adapted to fire.\r\nSome sprout from the root crown, some have seeds which need the heat of\r\nfire to germinate, and some use both devices. Left alone after a fire,\r\nthe area will be indistinguishable from adjoining areas in perhaps ten\r\nyears. Artificial mitigation will consist of grass seeding of the total\r\nburn area and fertilization of potential permanent conversions to\r\nincrease the density of ground cover and, thus, decrease the severity\r\nof erosion.",NA,NA,NA,NA,NA,24:23:00,10,1,1977,10,01,1,31,1978,01,31
3052,8523,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,5340,1205,1205,2,1966-08-27,1966-11-28,8/27/1966,11/28/1966,actual,actual,93,Implemented,Partially Successful,2,Acres,650,0,NA,NA,NA,NA,NA,NA,NA,To improve watershed conditions\r\nand to provide forage for livestock and wildlife.,Approximately 800 acres of Pinyon-juniper and Oak brush land will be\r\ndouble chained and aerial seeded in order to improve watershed conditions\r\nand to provide forage for livestock and wildlife.,"Approximately 650 acres of Pinyon-Juniper, Sagebrush and Oakbrush were double chained and aerial broadcast seeded.","A Job inspection record and maintenance schedule form was completed in 1980.  It listed the project as fair to poor, with heavy utilization and encroachment of sagebrush and oak.  And aerial application of 2, 4-D was recommended for 400 acres.",Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,2/19/2015,871.0756345,870.3662042,NA,NA,"Brush control, Forage for livestock, Forage for wildlife, Forage quality, Erosion, Watershed degradation, Watershed health",Approximately 800 acres of Pinyon-juniper and Oak brush land will be\r\ndouble chained and aerial seeded in order to improve watershed conditions\r\nand to provide forage for livestock and wildlife.,None,NA,None,NA,NA,25:42:00,8,27,1966,08,27,11,28,1966,11,28
3052,8524,Seeding,Aerial Seeding,Aerial Seeding,5341,1206,1205,2,1966-08-27,1966-11-28,8/27/1966,11/28/1966,actual,actual,93,Implemented,Partially Successful,2,Acres,650,-1,Confirmed seed list,Seed List,Seeds,Confirmed on Paper,Unknown,Species Specific,NA,To improve watershed conditions\r\nand to provide forage for livestock and wildlife.,Approximately 800 acres of Pinyon-juniper and Oak brush land will be\r\ndouble chained and aerial seeded in order to improve watershed conditions\r\nand to provide forage for livestock and wildlife.,"Approximately 650 acres of Pinyon-Juniper, Sagebrush and Oakbrush were double chained and aerial broadcast seeded.","A Job inspection record and maintenance schedule form was completed in 1980.  It listed the project as fair to poor, with heavy utilization and encroachment of sagebrush and oak.  And aerial application of 2, 4-D was recommended for 400 acres.",Polygon,Confirmed,Digitized by LTDL data entry personnel using a confirmed map,2/19/2015,871.0756345,870.3662042,NA,NA,"Brush control, Forage for livestock, Forage for wildlife, Forage quality, Erosion, Watershed degradation, Watershed health",Approximately 800 acres of Pinyon-juniper and Oak brush land will be\r\ndouble chained and aerial seeded in order to improve watershed conditions\r\nand to provide forage for livestock and wildlife.,None,NA,None,NA,NA,30:14:00,8,27,1966,08,27,11,28,1966,11,28
4040,11364,Seeding,Aerial Seeding,Aerial Seeding,6994,1287,1218,2,1963-06-15,1964-06-30,00/00/1963,6/30/1964,estimated month and day,actual,381,Implemented,Successful,2,Acres,2352,-1,Confirmed seed list,NA,Seeds,Confirmed on Paper,NA,Unknown,No seeding rate is listed.,NA,NA,A 1976 site visit noted lots of grass and crested wheat.,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",9/3/2010,3374.742216,3327.52028,NA,NA,Provide forage for livestock,NA,None,NA,None,NA,NA,26:11:00,00,00,1963,06,15,6,30,1964,06,30
4040,11365,Vegetation/Soil Manipulation,Soil Disturbance,Soil Disturbance: Chaining,6995,1288,1218,2,1963-06-15,1964-06-30,00/00/1963,6/30/1964,estimated month and day,actual,381,Implemented,Successful,2,Acres,2352,0,No seed list,NA,NA,NA,NA,NA,NA,NA,NA,A 1976 site visit noted lots of grass and crested wheat.,NA,Polygon,Confirmed,"Digitized by BLM field office personnel, method unknown",9/3/2010,3374.742216,3327.52028,NA,NA,Provide forage for livestock,NA,None,NA,None,NA,NA,27:53:00,00,00,1963,06,15,6,30,1964,06,30
